Gene,logFC,AveExpr,P.Value,adj.P.Val,B
HOXB9,4.008221638046194,10.1747631327966,2.8801776601826637e-31,4.740969363885292e-29,30.54058072249866
HIST1H2BH,3.312723086405058,7.096569960570243,3.0734789635994457e-31,5.0162823186408244e-29,30.51236975505783
CCNE1,3.6624822810030273,9.435649391076062,6.481468218103482e-31,1.0489629950626467e-28,30.188326604192007
SEL1L3,1.8763913473951377,11.506958232105616,6.992303130649458e-31,1.1222063832764826e-28,30.155379752411022
CDT1,2.8021648406270163,9.384338048171854,8.401039375924395e-31,1.3371538623217184e-28,30.075666979735246
NFE2,2.3796544091188814,6.714615111732089,8.633640834937474e-31,1.362912203607056e-28,30.063806022236296
OAZ3,1.412908709739361,5.096785104693787,9.866330262551074e-31,1.5448427197274074e-28,30.005844351188607
ERCC6L,2.7386824130643306,7.0717290150326,1.0559010256893826e-30,1.6399675688509533e-28,29.976376788252423
TK1,2.9213670350007717,10.806122885566207,1.0766180624573473e-30,1.6587669811892842e-28,29.96793833828612
SULT2B1,3.8312232289984482,7.685593318572381,1.0902064004581817e-30,1.666371830668581e-28,29.962491272615136
PTTG1,3.009656292592116,9.862408491881464,1.2071684710430248e-30,1.8306187073872138e-28,29.918232116034694
ANKRD22,3.061809546446588,7.599538903000494,1.2268552516618413e-30,1.8459379134183908e-28,29.911206673713743
UBE2C,3.3719385130478674,10.559008810482924,1.7060422348607085e-30,2.547028480711813e-28,29.768010221621072
CDCP1,1.9533507422215146,10.789861153597487,1.9016182960957482e-30,2.817174366500617e-28,29.72087665276957
HIST1H2AE,2.515650606048657,6.885654509784606,3.562282149905032e-30,5.2370986202306115e-28,29.44827168529558
BIRC5,3.392178866158264,10.296715979987686,4.4983527918047314e-30,6.563164880103585e-28,29.34694648720057
KIFC1,3.027318992298713,10.177553363736797,4.903402503948729e-30,7.100348031845758e-28,29.309502455505793
TMEM63B,1.23424065220186,10.81860781782219,6.285925091327839e-30,9.034375472677823e-28,29.201630798726775
NCAPH,3.1498472960450576,8.808945080650945,7.628613499384049e-30,1.0882923509973141e-27,29.117554387901436
CSTB,1.371912955208776,12.713609960856207,1.073438120953237e-29,1.5200988802528229e-27,28.969222985697332
FOXM1,3.2668979957964375,9.766792552635138,1.2574139863977417e-29,1.767630362338256e-27,28.900521713238593
SIM2,6.324954300738885,7.190836194147342,1.3852512334045333e-29,1.933228514792602e-27,28.858471454479343
KRT18,2.1051941733355632,14.021897350426926,2.720521338298178e-29,3.7693899607399e-27,28.56534786337366
PHLDA2,2.6763960290416513,8.460264022471408,3.3456393934405084e-29,4.602404934162196e-27,28.47552087086873
GGH,2.44379055479039,9.843479737220123,3.882203077737089e-29,5.265306272826662e-27,28.410921750443322
HES6,2.49601990526543,10.466555694491369,3.862943743148225e-29,5.265306272826662e-27,28.413081616529837
ZNF724,1.9832203778321613,4.726131624196046,5.259672750505507e-29,7.083638986152838e-27,28.279041276201948
CCNF,2.113909402388344,8.945813523020613,5.42136155827086e-29,7.200689810395758e-27,28.265891628040237
TERT,3.741291578182193,5.037972239258428,5.38473603945484e-29,7.200689810395758e-27,28.268835581022994
CCNB1,2.6249391267742794,10.744106164850994,5.96339113529995e-29,7.866366429776832e-27,28.224506704601676
TUBA1C,1.835356315352961,10.731961748433793,6.284285352399333e-29,8.233268816452977e-27,28.201744103046643
TTK,3.0076819072871253,8.619225023775911,9.311324109826784e-29,1.211667506967257e-26,28.030988556107623
MCM2,1.79513653940881,9.897847140921929,1.0565405324627242e-28,1.3656318197784972e-26,27.97611383728915
